도시이름,관광지이름,관광지설명,별점,좋아요,카테고리1,카테고리2
도쿄,시부야 스카이,넋을 놓고 바라보게 만드는 스카이 라인을 자랑하는 전망대,4.6,"12,229",휴양,문화
도쿄,센소지,"일본 전통 문화가 살아 숨쉬는, 도쿄에서 가장 오래된 사원",4.3,"26,114",쇼핑,문화
도쿄,도쿄 타워,아름다운 전망을 즐길 수 있는 도쿄의 상징,4.4,"36,266",문화,편의성
도쿄,아사쿠사,대도시 속에서 전통 문화를 느낄 수 있는 일본판 인사동,4.4,"24,646",문화,관광
도쿄,시부야 스크램블 교차로,"'사람 홍수'를 카메라에 담을 수 있는, 시부야 대표 포토 스팟",4.1,"24,946",쇼핑,문화
도쿄,도쿄 디즈니랜드,월트 디즈니가 창조한 동화 속 세상,4.6,"25,547",편의성,문화
도쿄,메가 돈키호테 시부야 본점,24시간 영업하는 일본 대표 프랜차이즈 대형 생활 잡화 판매점,4.1,"19,448",쇼핑,문화
도쿄,아키하바라,다양한 애니메이션 관련 제품을 만날 수 있는 일본 대표 오타로드,4.2,"19,270",쇼핑,문화
도쿄,롯폰기 힐즈,도심 속 여유를 즐길 수 있는 롯폰기 최고의 명소,4.4,"22,571",문화,관광
도쿄,도쿄 역,100년의 역사를 가지고 있는 '도쿄의 현관',4.1,"7,445",문화,문화
후쿠오카,캐널시티 하카타,쇼핑과 엔터테인먼트를 동시에 즐길 수 있는 복합 상업시설,4.2,"50,390",문화,관광
후쿠오카,시사이드 모모치 해변공원,이국적인 휴양지 분위기를 가진 도심 속 해변 공원,4.0,"40,486",문화,관광
후쿠오카,후쿠오카 타워,하카타 만의 아름다운 오션뷰를 감상할 수 있는 랜드마크 타워,4.0,"39,575",편의성,문화
후쿠오카,하카타 역,"쇼핑과 식사, 도심 전망까지 한번에 즐길 수 있는 규슈 최대 규모의 역",4.4,"17,273",문화,관광
후쿠오카,나카스,일본식 포장마차 '야타이'가 몰려 있는 거리,3.6,"34,464",문화,문화
후쿠오카,오호리 공원,도심 속 시민들의 휴식처로 사용되는 큰 규모의  호수 공원,4.4,"30,787",문화,관광
후쿠오카,돈키호테 덴진 본점,소소한 잡화와 실용적인 물건들을 구매하기 좋은 프랜차이즈 드럭 스토어 ,3.9,"15,261",쇼핑,문화
후쿠오카,덴진 지하상가,덴진 지역의 쇼핑 플레이스들을 잇는 큰 규모의 지하상가,3.9,"29,274",편의성,쇼핑
후쿠오카,이치란 본사 총본점,일본을 대표하는 프랜차이즈 라멘 전문점,4.3,"32,401",쇼핑,문화
후쿠오카,덴진 다이묘 거리,맛집 탐방과 쇼핑을 함께 즐길 수 있는 번화가,3.9,"17,695",문화,편의성
오사카,도톤보리,화려한 네온사인 속 맛집 탐험! 오사카 NO.1 관광 명소,4.3,"89,482",문화,관광
오사카,유니버설 스튜디오 재팬,온가족 모두 즐거운 할리우드 영화 테마파크,4.7,"55,394",편의성,문화
오사카,오사카 성,오사카를 상징하는 랜드마크이자 필수 관광 코스,4.0,"64,052",편의성,관광
오사카,청수사,아름다운 사계절을 조망할 수 있는 교토 최고의 인기 사찰,4.2,"41,717",편의성,문화
오사카,산넨자카 니넨자카,사계절의 아름다운과 교토의 옛 모습을 간직한 거리,4.4,"30,466",편의성,문화
오사카,헵파이브,빨간 대관람차로 유명한 대형 복합 쇼핑몰,4.2,"48,120",음식,문화
오사카,공중 정원 전망대,오사카 야경을 즐길 수 있는 우메다 스카이 빌딩의 옥외 전망대,4.2,"31,442",휴양,편의성
오사카,돈키호테 도톤보리 점,세계 최초의 타원형 관람차가 있는 일본 대표 드럭스토어 체인,3.6,"50,325",쇼핑,문화
오사카,구로몬 시장,다양한 먹거리가 있는 '오사카의 부엌',3.8,"65,662",관광,문화
오사카,한큐 백화점 우메다 본점,90여 년의 역사를 자랑하는 유명한 대규모 백화점,4.1,"19,279",휴양,문화
가고시마,가고시마 중앙역,가고시마 인근 도시와 규슈 내 다른 지역으로 이동할 수 있는 기차역,4.7,236,문화,편의성
가고시마,덴몬칸,매년 수많은 축제가 열리는 가고시마 최대 규모의 번화가,4.4,493,편의성,문화
가고시마,센간엔,사쿠라지마의 절경을 감상할 수 있는 아름다운 정원,4.4,488,편의성,문화
가고시마,가고시마 항 페리 터미널,가고시마와 사쿠라지마를 오가는 페리가 있는 여객 터미널,4.4,108,문화,문화
가고시마,이부스키 역,매년 온천 축제가 열리는 이부스키 관광의 시작점,3.9,101,편의성,문화
가고시마,기리시마 온천 시장,지역 특산품과 다양한 먹거리가 있는 시장,3.0,81,관광,문화
가고시마,돈키호테 가고시마 덴몬칸 점,먹거리부터 생필품까지 없는 게 없는 일본 대표 만물 잡화점,4.2,110,쇼핑,문화
가고시마,시로야마 공원 전망대,사쿠라지마의 절경과 가고시마 시내를 한눈에 조망할 수 있는 전망대,4.3,367,편의성,문화
가고시마,유노히라 전망대,사쿠라지마 화산을 가장 가까이에서 볼 수 있는 전망대,4.2,235,휴양,문화
가고시마,사쿠라지마 용암 나기사 공원 앤 족욕,아름다운 풍경의 해안 산책로와 무료 족욕탕이 있는 힐링 스팟,4.5,233,편의성,편의성
시즈오카,시라이토 폭포,"가늘고 섬세하게 떨어지는 후지산의 해빙수, 아름다운 '백사(白糸)폭포'",4.6,756,편의성,문화
시즈오카,다누키 호수,후지산이 선사하는 절경을 감상할 수 있는 최고의 뷰 포인트,4.2,"1,120",문화,문화
시즈오카,아오바 요코초,시즈오카식 오뎅을 맛볼 수 있는 20여 개의 가게가 모여있는 골목,3.6,934,문화,음식
시즈오카,나나야 시즈오카 점,7단계의 말차 젤라또가 유명해 항상 사람이 붐비는 곳,4.4,768,편의성,문화
시즈오카,시즈오카 역,JR 도카이도 본선과 신칸센이 지나는 시즈오카 교통의 중심지,4.6,183,편의성,문화
시즈오카,다마루야 본점,다양한 와사비 제품을 전문으로 판매하는 인기 식료품 가게,4.3,502,편의성,문화
시즈오카,슨푸 성 공원,도쿠가와 이에야스의 성과 아름다운 정원이 있는 도심 속 쉼터,3.9,537,문화,관광
시즈오카,사와야카 신시즈오카 세노바 점,육즙 가득한 수제 햄버그스테이크로 유명한 체인 레스토랑,4.5,492,음식,문화
시즈오카,후지노미야 역,교통의 중심지 후지노미야 역,4.0,69,편의성,문화
시즈오카,고후쿠쵸 거리,유명 맛집과 드럭스토어 등이 있는 시즈오카의 대표적인 번화가,4.1,681,문화,쇼핑
나고야,나고야 성,일본 3대 성으로 손꼽히는 나고야의 상징,4.0,"3,592",쇼핑,휴양
나고야,오스 상점가,다양한 매장이 들어서 있는 아케이드 상점가,4.0,"2,945",관광,문화
나고야,나고야 역,나고야 교통과 상권의 중심,4.1,"1,145",편의성,문화
나고야,지브리 파크,'지브리' 애니메이션 속 세계를 생생하게 재현한 테마 파크,4.7,"3,033",편의성,문화
나고야,오아시스 21,야경 명소로 유명한 친환경 입체 도시 공원,4.0,"3,611",음식,관광
나고야,돈키호테 나고야 사카에 본점,다양한 의약품과 생활용품을 판매하는 일본 대표 생활 잡화점,4.1,"1,989",쇼핑,문화
나고야,노리타케의 숲,유명 도자기 브랜드 '노리타케'에서 운영하는 복합 시설,3.9,"1,994",음식,음식
나고야,나고야 TV 타워,야경과 전망 명소로 인기있는 일본 최초의 전파탑,3.4,"2,310",쇼핑,휴양
나고야,시라카와고 합장촌,아름다운 자연 경관을 볼 수 있는 세계문화유산 마을,4.6,"1,571",편의성,휴양
나고야,하브스 사카에 본점,핸드메이드 케이크로 유명한 베이커리,4.2,"1,571",음식,문화
삿포로,오타루 운하,낮과 밤 모두 예뻐 관광객이 끊이지 않는 여행 필수 스팟,4.0,"19,568",편의성,문화
삿포로,오타루 오르골당 본관,오타루 대표 상품인 오르골을 약 3만 개 보유한 대형 상점,4.3,"16,189",쇼핑,문화
삿포로,오도리 공원,다양한 축제와 이벤트가 있는 삿포로 대표 공원,4.1,"17,980",관광,문화
삿포로,삿포로 역,다양한 즐길거리가 있는 홋카이도 교통의 중심,4.5,"4,381",관광,문화
삿포로,오타루 역,오타루 여행이 시작되는 곳,4.2,"4,366",편의성,문화
삿포로,삿포로 맥주 박물관,삿포로 생맥주를 시음할 수 있는 맥주 박물관,4.1,"15,947",문화,문화
삿포로,삿포로 TV 타워,삿포로 시내를 한눈에 담을 수 있는 랜드마크 타워,4.0,"14,091",문화,문화
삿포로,르타오 본점,10초에 한 개씩 팔리는 치즈 케이크가 유명한 디저트 전문점,4.3,"9,936",음식,문화
삿포로,크리스마스트리 나무,"비에이 평야에 홀로 서 있는 나무로, 사진 찍기에 좋아 많이 들르는 곳",4.3,"5,915",문화,문화
삿포로,메가 돈키호테 다누키코지 본점,온갖 종류의 상품들을 판매하는 24시간 대형 드럭 스토어,4.0,"1,769",쇼핑,문화
오키나와,오키나와 츄라우미 수족관,다양한 해양 생물과 더불어 돌고래 쇼를 볼 수 있는 대형 수족관,4.4,"18,866",관광,문화
오키나와,미하마 아메리칸 빌리지,볼거리와 즐길거리가 넘쳐나는 미국풍 복합 쇼핑 타운,4.0,"17,251",음식,쇼핑
오키나와,만좌모,자연이 만들어낸 절경을 감상할 수 있는 '코끼리 절벽',4.0,"15,954",문화,문화
오키나와,나하 국제 거리,쇼핑부터 먹거리와 축제까지 모두 한곳에서 즐길 수 있는 오키나와 대표 번화가,4.1,"17,874",문화,편의성
오키나와,우미카지 테라스,탁 트인 바다를 배경 삼아 여행을 즐길 수 있는 지중해풍 쇼핑 단지,4.1,"6,139",문화,쇼핑
오키나와,코우리 대교,'코우리 섬'으로 갈 수 있는 해변 드라이브 코스,4.3,"12,894",문화,문화
오키나와,슈리성,화재로 인해 큰 피해를 입은 오키나와의 상징,3.9,"8,061",쇼핑,문화
오키나와,돈키호테 나하 국제 거리 점,많은 여행객들의 필수 코스로 유명한 프랜차이즈 드럭 스토어 ,3.4,"8,309",쇼핑,문화
오키나와,비세 후쿠기 가로수길,"1,000여 그루 고목 사잇길에서 즐기는 산림욕",4.1,"8,991",쇼핑,문화
오키나와,이온몰 오키나와 라이카무 점,220개 이상의 다양한 매장이 입점한 오키나와 최대 규모의 쇼핑몰,4.1,"4,989",음식,문화
나가사키,구라바엔,언덕에서 내려다보이는 전망과 서양식 건물이 어우러진 아름다운 정원,4.5,354,편의성,관광
나가사키,나가사키 역,버스와 전차로 바로 갈아탈 수 있어 편리한 이동을 돕는 기차역,4.5,50,편의성,편의성
나가사키,하우스텐보스,일본 속 작은 유럽과 네덜란드를 느낄 수 있는 테마파크,4.3,"5,652",쇼핑,문화
나가사키,나가사키 신치 차이나타운,"하얀 국물의 '나가사키 짬뽕'으로 유명한, 일본 3대 차이나타운",4.1,344,음식,문화
나가사키,메가네바시,"국가 중요 문화재로 지정된, 수면에 비친 아치가 안경을 닮은 다리",4.0,406,쇼핑,문화
나가사키,오우라 천주당,뾰족하게 솟은 연둣빛 탑과 신비로운 스테인드글라스가 매력적인 성당,3.8,220,편의성,문화
나가사키,후쿠사야 본점,숙련된 손기술로 바닥에 설탕이 박힌 나가사키식 카스텔라를 선보이는 가게,4.0,278,편의성,문화
나가사키,시카이로,대표적인 현지 음식 나가사키 짬뽕과 사라 우동의 원조 맛집,4.3,233,편의성,음식
나가사키,데지마,에도 시대의 사무라이 복장을 한 가이드를 따라 걸어보는 역사 명소,3.3,113,문화,휴양
나가사키,나가사키 데지마 워프,운치 있는 항구의 풍경을 감상하며 시간 보내기 좋은 복합 시설,4.4,125,음식,문화
